,0,1,2
1 0 1 2 1 5 1 2,0.9696451299093167,0.021172138956329994,0.009182731134353223
1 0 1 2 1 5 2 2,0.9258787892573918,0.07412121074260822,0.0
1 0 1 2 2 1 2,0.0,0.8341524115933305,0.16584758840666947
1 0 1 2 2 1 2 1 2,0.9528611000652636,0.028305656311668162,0.01883324362306829
1 0 1 2 2 1 2 2 2,0.8503740898855903,0.1496259101144097,0.0
1 0 1 2 2 1 3,0.0,0.8547777165544715,0.14522228344552846
1 0 1 2 2 1 3 1 2,0.9486307095391558,0.031872379159434285,0.0194969113014099
1 0 1 2 2 1 3 2 2,0.8404810422658927,0.1595189577341073,0.0
1 0 1 2 2 1 4,0.0,0.8532609576847932,0.14673904231520687
1 0 1 2 2 1 4 1 2,0.9471012389179365,0.034035541243983586,0.018863219838079884
1 0 1 2 2 1 4 2 2,0.9084032803934937,0.09159671960650632,0.0
1 0 1 2 2 1 5,0.0,0.8189103090731621,0.18108969092683797
1 0 1 2 2 1 5 1 2,0.944523559059226,0.028518074641879537,0.02695836629889444
1 0 1 2 2 1 5 2 2,0.9190758623457316,0.08092413765426838,0.0
1 0 2 1 2,0.0,0.3088284589429675,0.6911715410570325
1 0 2 1 2 1 2,0.9764484794577072,0.009989342362866386,0.013562178179426393
1 0 2 1 2 2 2,0.954821641674131,0.04517835832586898,0.0
1 0 2 1 3,0.0,0.26521382199197613,0.7347861780080239
1 0 2 1 3 1 2,0.9603456908483748,0.014866253444177583,0.02478805570744754
1 0 2 1 3 2 2,0.9403628025328883,0.05963719746711176,0.0
1 0 2 1 4,0.0,0.27076145620791975,0.7292385437920802
1 0 2 1 4 1 2,0.9425085352892818,0.014997344710985301,0.04249411999973293
1 0 2 1 4 2 2,0.9633740856835741,0.03662591431642589,0.0
1 0 2 1 5,0.0,0.22593563966204305,0.7740643603379569
1 0 2 1 5 1 2,0.9336236228394109,0.014983012490860466,0.05139336466972863
1 0 2 1 5 2 2,0.960740467298156,0.03925953270184405,0.0
1 0 2 2,0.022288346174921037,0.977711653825079,0.0
1 0 2 2 1 2,0.0,0.6986720170311855,0.3013279829688144
1 0 2 2 1 2 1 2,0.96362049516851,0.02594026182711188,0.010439243004378115
1 0 2 2 1 2 2 2,0.9291353386497708,0.07086466135022916,0.0
1 0 2 2 1 3,0.0,0.6865631449736913,0.3134368550263087
1 0 2 2 1 3 1 2,0.961746855348867,0.02864781719105252,0.009605327460080484
1 0 2 2 1 3 2 2,0.9255956867959748,0.07440431320402516,0.0
1 0 2 2 1 4,0.0,0.681859172390827,0.31814082760917295
1 0 2 2 1 4 1 2,0.9350859044837245,0.04515592726206969,0.019758168254205767
1 0 2 2 1 4 2 2,0.9531019029992399,0.046898097000760045,0.0
1 0 2 2 1 5,0.0,0.6725889834248521,0.3274110165751479
1 0 2 2 1 5 1 2,0.9440906067251623,0.03090117141891457,0.025008221855923097
1 0 2 2 1 5 2 2,0.9390140750075117,0.06098592499248839,0.0
1 2 1 1 0,0.0,0.455127131961544,0.544872868038456
1 2 1 1 0 1 2,0.14629862584463513,0.08310178417574073,0.7705995899796242
1 2 1 1 0 2 2,0.15375084039952178,0.8462491596004782,0.0
1 2 1 2 1 0,0.0,0.24867732704705087,0.7513226729529491
1 2 1 2 1 0 1 2,0.040711512898093716,0.08591791658451005,0.8733705705173962
1 2 1 2 1 0 2 2,0.041103909191935024,0.9588960908080649,0.0
1 2 1 2 2 1 0,0.0,0.17850138861420986,0.8214986113857902
1 2 1 2 2 1 0 1 2,0.02520380313166561,0.11063716375132189,0.8641590331170125
1 2 1 2 2 1 0 2 2,0.029671615328638275,0.9703283846713617,0.0
1 2 2 1 0,0.0,0.11237224197236526,0.8876277580276347
1 2 2 1 0 1 2,0.021154090199777813,0.04074718308571175,0.9380987267145104
1 2 2 1 0 2 2,0.1239902917964466,0.8760097082035534,0.0
1 2 2 2 1 0,0.0,0.3122953424216294,0.6877046575783706
1 2 2 2 1 0 1 2,0.0221661368999571,0.20229934382028145,0.7755345192797615
1 2 2 2 1 0 2 2,0.02842138683176091,0.9715786131682391,0.0
2 0,0.0,0.6117167576500055,0.38828324234999445
2 0 1 1 1,0.0,0.8484001612207313,0.15159983877926872
2 0 1 1 1 1 2,0.950243846610551,0.021429673196500278,0.02832648019294873
2 0 1 1 1 2 2,0.9165923525970804,0.08340764740291964,0.0
2 0 1 1 3,0.0,0.20845668648796634,0.7915433135120337
2 0 1 1 3 1 2,0.05887444405070609,0.16281727198984133,0.7783082839594526
2 0 1 1 3 2 2,0.10419218184921614,0.8958078181507839,0.0
2 0 1 1 4,0.0,0.33410096027979114,0.6658990397202089
2 0 1 1 4 1 2,0.043239657963356395,0.5074724687349322,0.4492878733017114
2 0 1 1 4 2 2,0.04584185480706829,0.9541581451929317,0.0
2 0 1 1 5,0.0,0.36173711704053263,0.6382628829594674
2 0 1 1 5 1 2,0.09105914017029343,0.5143507259174532,0.39459013391225334
2 0 1 1 5 2 2,0.056897335289232354,0.9431026647107676,0.0
2 0 1 2,0.020114603709312406,0.7377028217936851,0.24218257449700248
2 0 1 2 1 1,0.0,0.7900523291322218,0.20994767086777816
2 0 1 2 1 1 1 2,0.9520759418986824,0.019055301519497275,0.028868756581820327
2 0 1 2 1 1 2 2,0.9470030453408776,0.052996954659122374,0.0
2 0 1 2 1 3,0.0,0.15208391349627487,0.8479160865037251
2 0 1 2 1 3 1 2,0.15957081619122504,0.3962370458068665,0.4441921380019085
2 0 1 2 1 3 2 2,0.06478626287213754,0.9352137371278625,0.0
2 0 1 2 1 4,0.0,0.8508438747202073,0.14915612527979275
2 0 1 2 1 4 1 2,0.13808603173237943,0.7991913318875035,0.06272263638011705
2 0 1 2 1 4 2 2,0.04646509462193399,0.9535349053780661,0.0
2 0 1 2 1 5,0.0,0.8154403399079001,0.18455966009209987
2 0 1 2 1 5 1 2,0.15726215961655052,0.7897483022166606,0.05298953816678891
2 0 1 2 1 5 2 2,0.06009737147753197,0.9399026285224681,0.0
2 0 1 2 2 1 1,0.0,0.6865698925272904,0.31343010747270955
2 0 1 2 2 1 1 1 2,0.7547951599302072,0.05485899501179181,0.19034584505800106
2 0 1 2 2 1 1 2 2,0.8891016536264602,0.11089834637353974,0.0
2 0 1 2 2 1 3,0.0,0.11540337316396579,0.8845966268360342
2 0 1 2 2 1 3 1 2,0.07605907774323688,0.38661652127602825,0.5373244009807349
2 0 1 2 2 1 3 2 2,0.043518235195410114,0.9564817648045899,0.0
2 0 1 2 2 1 4,0.0,0.5214088200204279,0.4785911799795722
2 0 1 2 2 1 4 1 2,0.05148475702005865,0.669258378301279,0.2792568646786624
2 0 1 2 2 1 4 2 2,0.028957028616198668,0.9710429713838014,0.0
2 0 1 2 2 1 5,0.0,0.5296627254213082,0.4703372745786918
2 0 1 2 2 1 5 1 2,0.07604712701124709,0.6692940395649695,0.25465883342378337
2 0 1 2 2 1 5 2 2,0.03591011310925524,0.9640898868907447,0.0
2 0 2 1 1,0.0,0.5005098586451493,0.49949014135485065
2 0 2 1 1 1 2,0.8656776869922015,0.03823936873075995,0.09608294427703859
2 0 2 1 1 2 2,0.9071108636608041,0.09288913633919593,0.0
2 0 2 1 3,0.0,0.11252838836863469,0.8874716116313653
2 0 2 1 3 1 2,0.07359216307407496,0.2804423251715129,0.6459655117544121
2 0 2 1 3 2 2,0.15092081387969827,0.8490791861203018,0.0
2 0 2 1 4,0.0,0.35089835014988274,0.6491016498501173
2 0 2 1 4 1 2,0.03506197551519323,0.5194936607570584,0.44544436372774837
2 0 2 1 4 2 2,0.052563961924184686,0.9474360380758153,0.0
2 0 2 1 5,0.0,0.31241669551460827,0.6875833044853917
2 0 2 1 5 1 2,0.04045564293691649,0.4714684170802369,0.4880759399828466
2 0 2 1 5 2 2,0.07489841580796243,0.9251015841920376,0.0
2 0 2 2,0.03183596349945,0.96816403650055,0.0
2 0 2 2 1 1,0.0,0.46112207567747115,0.5388779243225289
2 0 2 2 1 1 1 2,0.8696295865266369,0.0474023194330197,0.08296809404034333
2 0 2 2 1 1 2 2,0.9185489258236981,0.08145107417630192,0.0
2 0 2 2 1 3,0.0,0.09378060543620013,0.9062193945637999
2 0 2 2 1 3 1 2,0.13280604476982755,0.5726215159256621,0.29457243930451027
2 0 2 2 1 3 2 2,0.06712681207737306,0.932873187922627,0.0
2 0 2 2 1 4,0.0,0.6498656711324738,0.3501343288675262
2 0 2 2 1 4 1 2,0.06608221131808195,0.8086223247236706,0.12529546395824742
2 0 2 2 1 4 2 2,0.06452508574084855,0.9354749142591514,0.0
2 0 2 2 1 5,0.0,0.5890072350405277,0.4109927649594724
2 0 2 2 1 5 1 2,0.10731585483723663,0.7160162436368501,0.1766679015259132
2 0 2 2 1 5 2 2,0.06715389050678178,0.9328461094932182,0.0
2 1 1 1 0,0.0,0.8740887582506728,0.12591124174932716
2 1 1 1 0 1 2,0.9616637319481348,0.017523965030200452,0.02081230302166476
2 1 1 1 0 2 2,0.9424299953570188,0.05757000464298121,0.0
2 1 1 2 1 0,0.0,0.7816796454529094,0.21832035454709067
2 1 1 2 1 0 1 2,0.9513727242864671,0.020324005010991877,0.02830327070254104
2 1 1 2 1 0 2 2,0.9398756116202001,0.06012438837979991,0.0
2 1 1 2 2 1 0,0.0,0.6835138196623393,0.31648618033766074
2 1 1 2 2 1 0 1 2,0.7065398956291339,0.06583278871449787,0.22762731565636826
2 1 1 2 2 1 0 2 2,0.8615556221409308,0.13844437785906916,0.0
2 1 2 1 0,0.0,0.4548250760986604,0.5451749239013396
2 1 2 1 0 1 2,0.8609289673976394,0.038254877419887916,0.10081615518247272
